"","full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"1","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","AUCroc",617,97.118,96.875,0.998,0.941,NA
"2","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","TSS",687,94.76,99.5,0.943,0.79,NA
"3","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",616,97.118,96.875,0.939,0.797,NA
"4","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","ACCURACY",601,97.729,96.125,0.971,0.903,NA
"5","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","SR",859,88.646,100,1,0.923,NA
"6","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","BOYCE",671,95.197,98.75,0.994,0.931,NA
"10%","Fagus.sylvativa_PA1_RUN1_RF","PA1","RUN1","RF","MPA",846.8,89.956,100,NA,NA,NA
"11","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","AUCroc",648,96.419,97.75,0.998,0.946,NA
"21","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","TSS",667,95.546,99,0.945,0.833,NA
"31","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",566,99.127,94.5,0.942,0.833,NA
"41","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","ACCURACY",561,99.214,94.5,0.972,0.922,NA
"51","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","SR",853.5,88.996,100,1,0.931,NA
"61","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","BOYCE",680,95.197,99.25,0.964,0.866,NA
"10%1","Fagus.sylvativa_PA1_RUN2_RF","PA1","RUN2","RF","MPA",834.8,89.956,100,NA,NA,NA
"12","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","AUCroc",632,97.031,98,0.998,0.929,NA
"22","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","TSS",677,95.546,99.5,0.95,0.8,NA
"32","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",561,99.301,95,0.949,0.803,NA
"42","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","ACCURACY",561,99.301,95,0.975,0.905,NA
"52","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","SR",874,87.511,100,1,0.913,NA
"62","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","BOYCE",644,96.681,98.25,0.971,0.834,NA
"10%2","Fagus.sylvativa_PA1_RUN3_RF","PA1","RUN3","RF","MPA",848.8,89.956,100,NA,NA,NA
"13","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","AUCroc",635,97.118,97.125,0.998,0.944,NA
"23","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","TSS",687,95.109,99.375,0.945,0.803,NA
"33","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","KAPPA",556,99.301,94.75,0.947,0.829,NA
"43","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","ACCURACY",556,99.301,94.75,0.974,0.918,NA
"53","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","SR",859,89.52,100,1,0.934,NA
"63","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","BOYCE",653,96.245,98.125,0.993,0.944,NA
"10%3","Fagus.sylvativa_PA1_RUN4_RF","PA1","RUN4","RF","MPA",852.8,89.956,100,NA,NA,NA
"14","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","AUCroc",623,97.205,97.5,0.998,0.943,NA
"24","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","TSS",646,96.419,98.625,0.95,0.775,NA
"34","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","KAPPA",586,98.341,96.25,0.948,0.792,NA
"44","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","ACCURACY",586,98.341,96.25,0.975,0.899,NA
"54","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","SR",853.5,89.869,100,1,0.938,NA
"64","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","BOYCE",653,96.07,98.875,0.988,0.783,NA
"10%4","Fagus.sylvativa_PA1_RUN5_RF","PA1","RUN5","RF","MPA",852,89.869,100,NA,NA,NA
